Name,Team,Position,Season,Bats,WAR,HR,RBI,AVG
Aaron Judge,NYY,RF,2016,R,53.3,322,737,0.29
Adam Frazier,PIT,2B,2016,L,10.6,61,345,0.263
Adley Rutschman,BAL,C,2022,B,14.4,55,207,0.26
Adolis García,TEX,RF,2018,R,10.5,124,389,0.238
Alec Bohm,PHI,3B,2020,R,7,59,340,0.274
Alec Burleson,STL,RF,2022,L,-0.4,30,122,0.256
Alejandro Kirk,TOR,C,2020,R,10.1,37,191,0.263
Amed Rosario,WSN,SS,2017,R,8.9,64,368,0.273
Andrés Giménez,TOR,2B,2020,L,15,52,230,0.259
Andrew McCutchen,PIT,CF,2009,R,52.8,320,1100,0.273
Andrew Vaughn,CHW,1B,2021,R,-0.9,74,282,0.25
Andy Ibáñez,DET,2B,2021,R,3.2,25,114,0.253
Anthony Santander,TOR,RF,2017,B,9.6,157,441,0.245
Anthony Volpe,NYY,SS,2023,R,5.9,37,135,0.227
Austin Barnes,LAD,C,2015,R,8.2,35,162,0.221
Austin Hays,CIN,CF,2017,R,7.2,69,252,0.262
Austin Hedges,CLE,C,2015,R,8.1,70,239,0.186
Austin Riley,ATL,3B,2019,R,19.5,158,441,0.272
Bo Bichette,TOR,SS,2019,R,16.6,93,354,0.29
Bobby Witt Jr.,KCR,SS,2022,R,19.5,84,293,0.289
Brandon Lowe,TBR,2B,2018,L,15.2,129,374,0.245
Brandon Marsh,PHI,CF,2021,L,7.5,42,196,0.252
Brandon Nimmo,NYM,LF,2016,L,25,114,380,0.26
Brendan Donovan,STL,2B,2022,L,8.5,32,163,0.286
Brendan Rodgers,HOU,2B,2019,R,2.8,45,201,0.265
Brent Rooker,ATH,LF,2020,R,6.7,83,212,0.255
Brenton Doyle,COL,CF,2023,R,4.8,36,132,0.24
Brice Turang,MIL,2B,2023,L,2.8,16,101,0.244
Bryan De La Cruz,ATL,LF,2021,R,-0.5,58,208,0.251
Bryan Reynolds,PIT,CF,2019,B,17,124,419,0.275
Bryce Harper,PHI,1B,2012,L,53,340,985,0.281
Bryson Stott,PHI,2B,2022,L,7.8,37,174,0.256
Byron Buxton,MIN,CF,2015,R,22.5,136,361,0.244
Cal Raleigh,SEA,C,2021,B,14.6,100,261,0.218
Carlos Correa,MIN,SS,2015,R,38.2,187,676,0.274
